Date,Tab,Description of Change,,,,
All dates,Most_Recent_Inst_Cohort_Map,"Note that any changes referenced as changes in the ""institution_cohort_map"" tab were also made for the ""most_recent_inst_cohort_map"" tab.",,,,
,,,,,,
"June 10, 2026",Institution_Cohort_Map,Updated entries with new values due to data refresh,,,,
,FieldOfStudy_Cohort_Map,Updated entries with new values due to data refresh,,,,
,,,,,,
,,,,,,
"March 23, 2026",Institution_Data_Dictionary, Added entries for EARN_THR_STATE and EARN_THR_NAT,,,,
,Institution_Cohort_Map,Updated entries with new values due to data refresh and added entries for EARN_THR_STATE and EARN_THR_NAT.,,,,
,FieldOfStudy_Data_Dictionary,"Added entries for EARN_COUNT_WNE_4YR_NAT, EARN_MDN_4YR_NAT, EARN_P25_4YR_NAT, EARN_P75_4YR_NAT",,,,
,FieldOfStudy_Cohort_Map,"Updated entries with new values due to data refresh and added entries for EARN_COUNT_WNE_4YR_NAT, EARN_MDN_4YR_NAT, EARN_P25_4YR_NAT, EARN_P75_4YR_NAT",,,,
,,,,,,
"November 17, 2025",Institution_Cohort_Map,Updated entries with new values due to data refresh,,,,
,FieldOfStudy_Cohort_Map,Updated entries with new values due to data refresh,,,,
,,,,,,
"April 23, 2025",Glossary,"Added a definition for ""NA""",,,,
,Institution_Data_Dictionary,Added entry for SCORECARD_SECTOR,,,,
,Institution_Cohort_Map,Updated entries with new values due to data refresh and added entry for SCORECARD_SECTOR,,,,
,,,,,,
"January 16, 2025",Institution_Cohort_Map,Updated entries with new values due to data refresh,,,,
,FieldOfStudy_Cohort_Map,Updated entries with new values due to data refresh,,,,
,,,,,,
"October 10, 2024",Institution_Cohort_Map,Updated entries with new values due to data refresh,,,,
,FieldOfStudy_Cohort_Map,Updated entries with new values due to data refresh,,,,
,,,,,,
"June 13, 2024",Institution_Data_Dictionary,"Added entries for earnings 5 years after completion and for earnings metrics 7, 9, and 11 years after entry",,,,
,Institution_Cohort_Map,"Updated entries with new values due to the earnings data refresh and added entries for earnings 5 years after completion and for earnings metrics 7, 9, and 11 years after entry",,,,
,FieldOfStudy_Data_Dictionary,Added entries for earnings 5 years after completion,,,,
,FieldOfStudy_Cohort_Map,Updated entries with new values due to the earnings data refresh and added entries for earnings 5 years after completion,,,,
,,,,,,
"May 6, 2024",Institution_Data_Dictionary,"Added entries for PCTPELL_DCS, PCTFLOAN_DCS, DCS_PELL_LOAN, PCTPELL_DCS_POOLED_SUPP, PCTFLOAN_DCS_POOLED_SUPP, DCS_PELL_LOAN_POOLED, POOLYRS_DCS, SATVR50, SATMT50, ACTCM50, ACTEN50, and ACTMT50",,,,
,Institution_Cohort_Map,"Updated entries with new values due to IPEDS, PEPS, and FSA data refresh and to replace NULL with NA; added entries for PCTPELL_DCS, PCTFLOAN_DCS, DCS_PELL_LOAN, PCTPELL_DCS_POOLED_SUPP, PCTFLOAN_DCS_POOLED_SUPP, DCS_PELL_LOAN_POOLED, POOLYRS_DCS, SATVR50, SATMT50, ACTCM50, ACTEN50, and ACTMT50.",,,,
,FieldOfStudy_Cohort_Map,Updated entries with new values due to PEPS data refresh and to replace NULL with NA,,,,
,,,,,,
"October 10, 2023",Institution_Data_Dictionary,"Added entries for CONTROL_PEPS, OM*_NOPELL_*, ADM_RATE_SUPP, and ADDR",,,,
,Institution_Cohort_Map,"Updated entries with new values due to PEPS, OPE, and FSA data refresh; added entries for CONTROL_PEPS, OM*_NOPELL_*, ADM_RATE_SUPP, and ADDR",,,,
