Variable Name,FieldOfStudyData1415_1516 datafile,FieldOfStudyData1516_1617 datafile,FieldOfStudyData1617_1718 datafile,FieldOfStudyData1718_1819 datafile,FieldOfStudyData1819_1920 datafile,FieldOfStudyData1920_2021 datafile,FieldOfStudyData2021_2122 datafile,FieldOfStudyData2122_2223 datafile,FieldOfStudyMostRecent datafile,,,,,,,,,,
UNITID,"AcadYr 2016-17, reported in IPEDS DCY2016-17","AcadYr 2017-18, reported in IPEDS DCY2017-18","AcadYr 2018-19, reported in IPEDS DCY2018-19","AcadYr 2019-20, reported in IPEDS DCY2019-20","AcadYr 2020-21, reported in IPEDS DCY2020-21","AcadYr 2021-22, reported in IPEDS DCY2021-22","AcadYr 2022-23, reported in IPEDS DCY2022-23","AcadYr 2023-24, reported in IPEDS DCY2023-24","AcadYr 2023-24, reported in IPEDS DCY2023-24",,,,,,,,,,
OPEID6,"AcadYr 2016-17, reported in IPEDS DCY2016-17 -or- NSLDS pooled AY2014-15, AY2015-16 cohort","AcadYr 2017-18, reported in IPEDS DCY2017-18 -or- NSLDS pooled AY2015-16, AY2016-17 cohort","AcadYr 2018-19, reported in IPEDS DCY2018-19 -or- NSLDS pooled AY2016-17, AY2017-18 cohort","AcadYr 2019-20, reported in IPEDS DCY2019-20 -or- NSLDS pooled AY2017-18, AY2018-19 cohort","AcadYr 2020-21, reported in IPEDS DCY2020-21 -or- NSLDS pooled AY2018-19, AY2019-20 cohort","AcadYr 2021-22, reported in IPEDS DCY2021-22 -or- NSLDS pooled AY2019-20, AY2020-21 cohort","AcadYr 2022-23, reported in IPEDS DCY2022-23 -or- NSLDS pooled AY2020-21, AY2021-22 cohort","AcadYr 2023-24, reported in IPEDS DCY2023-24 -or- NSLDS pooled AY2021-22, AY2022-23 cohort","AcadYr 2023-24, reported in IPEDS DCY2023-24 -or- NSLDS pooled AY2021-22, AY2022-23 cohort",,,,,,,,,,
INSTNM,"AcadYr 2016-17, reported in IPEDS DCY2016-17, unless more recent data are available through IPEDS (up to AcadYr 2025-26) -or- NSLDS pooled AY2014-15, AY2015-16 cohort","AcadYr 2017-18, reported in IPEDS DCY2017-18, unless more recent data are available through IPEDS (up to AcadYr 2025-26) -or- NSLDS pooled AY2015-16, AY2016-17 cohort","AcadYr 2018-19, reported in IPEDS DCY2018-19, unless more recent data are available through IPEDS (up to AcadYr 2025-26) -or- NSLDS pooled AY2016-17, AY2017-18 cohort","AcadYr 2019-20, reported in IPEDS DCY2019-20, unless more recent data are available through IPEDS (up to AcadYr 2025-26) -or- NSLDS pooled AY2017-18, AY2018-19 cohort","AcadYr 2020-21, reported in IPEDS DCY2020-21, unless more recent data are available through IPEDS (up to AcadYr 2025-26) -or- NSLDS pooled AY2018-19, AY2019-20 cohort","AcadYr 2021-22, reported in IPEDS DCY2021-22, unless more recent data are available through IPEDS (up to AcadYr 2025-26) -or- NSLDS pooled AY2019-20, AY2020-21 cohort","AcadYr 2022-23, reported in IPEDS DCY2022-23, unless more recent data are available through IPEDS (up to AcadYr 2025-26) -or- NSLDS pooled AY2020-21, AY2021-22 cohort","AcadYr 2023-24, reported in IPEDS DCY2023-24, unless more recent data are available through IPEDS (up to AcadYr 2025-26) -or- NSLDS pooled AY2021-22, AY2022-23 cohort","AcadYr 2023-24, reported in IPEDS DCY2023-24, unless more recent data are available through IPEDS (up to AcadYr 2025-26) -or- NSLDS pooled AY2021-22, AY2022-23 cohort",,,,,,,,,,
CONTROL,"AcadYr 2016-17, reported in IPEDS DCY2016-17 -or- PEPS as of 04/30/2026","AcadYr 2017-18, reported in IPEDS DCY2017-18 -or- PEPS as of 04/30/2026","AcadYr 2018-19, reported in IPEDS DCY2018-19 -or- PEPS as of 04/30/2026","AcadYr 2019-20, reported in IPEDS DCY2019-20 -or- PEPS as of 04/30/2026","AcadYr 2020-21, reported in IPEDS DCY2020-21 -or- PEPS as of 04/30/2026","AcadYr 2021-22, reported in IPEDS DCY2021-22 -or- PEPS as of 04/30/2026","AcadYr 2022-23, reported in IPEDS DCY2022-23 -or- PEPS as of 04/30/2026","AcadYr 2023-24, reported in IPEDS DCY2023-24 -or- PEPS as of 04/30/2026","AcadYr 2023-24, reported in IPEDS DCY2023-24 -or- PEPS as of 04/30/2026",,,,,,,,,,
MAIN,"AcadYr 2016-17, reported in IPEDS DCY2016-17 -or- NSLDS pooled AY2014-15, AY2015-16 cohort","AcadYr 2017-18, reported in IPEDS DCY2017-18 -or- NSLDS pooled AY2015-16, AY2016-17 cohort","AcadYr 2018-19, reported in IPEDS DCY2018-19 -or- NSLDS pooled AY2016-17, AY2017-18 cohort","AcadYr 2019-20, reported in IPEDS DCY2019-20 -or- NSLDS pooled AY2017-18, AY2018-19 cohort","AcadYr 2020-21, reported in IPEDS DCY2020-21 -or- NSLDS pooled AY2018-19, AY2019-20 cohort","AcadYr 2021-22, reported in IPEDS DCY2021-22 -or- NSLDS pooled AY2019-20, AY2020-21 cohort","AcadYr 2022-23, reported in IPEDS DCY2022-23 -or- NSLDS pooled AY2020-21, AY2021-22 cohort","AcadYr 2023-24, reported in IPEDS DCY2023-24 -or- NSLDS pooled AY2021-22, AY2022-23 cohort","AcadYr 2023-24, reported in IPEDS DCY2023-24 -or- NSLDS pooled AY2021-22, AY2022-23 cohort",,,,,,,,,,
CIPCODE,"AY2015-16, reported in IPEDS DCY2016-17 -or- NSLDS pooled AY2014-15, AY2015-16 cohort. Uses CIP2010 codes.","AY2016-17, reported in IPEDS DCY2017-18 -or- NSLDS pooled AY2015-16, AY2016-17 cohort. Uses CIP2010 codes.","AY2017-18, reported in IPEDS DCY2018-19 -or- NSLDS pooled AY2016-17, AY2017-18 cohort. Uses CIP2010 codes.","AY2018-19, reported in IPEDS DCY2019-20 -or- NSLDS pooled AY2017-18, AY2018-19 cohort. Uses CIP2010 codes.","AY2019-20, reported in IPEDS DCY2020-21 -or- NSLDS pooled AY2018-19, AY2019-20 cohort. Uses CIP2020 codes.","AY2020-21, reported in IPEDS DCY2021-22 -or- NSLDS pooled AY2019-20, AY2020-21 cohort. Uses CIP2020 codes.","AY2021-22, reported in IPEDS DCY2022-23 -or- NSLDS pooled AY2020-21, AY2021-22 cohort. Uses CIP2020 codes.","AY2022-23, reported in IPEDS DCY2023-24 -or- NSLDS pooled AY2021-22, AY2022-23 cohort. Uses CIP2020 codes.","AY2022-23, reported in IPEDS DCY2023-24 -or- NSLDS pooled AY2021-22, AY2022-23 cohort. Uses CIP2020 codes.",,,,,,,,,,
CIPDESC,"Classification of Instructional Programs, 2010 edition","Classification of Instructional Programs, 2010 edition","Classification of Instructional Programs, 2010 edition","Classification of Instructional Programs, 2010 edition","Classification of Instructional Programs, 2020 edition","Classification of Instructional Programs, 2020 edition","Classification of Instructional Programs, 2020 edition","Classification of Instructional Programs, 2020 edition","Classification of Instructional Programs, 2020 edition",,,,,,,,,,
CREDLEV,"AY2015-16, reported in IPEDS DCY2016-17 -or- NSLDS pooled AY2014-15, AY2015-16 cohort","AY2016-17, reported in IPEDS DCY2017-18 -or- NSLDS pooled AY2015-16, AY2016-17 cohort","AY2017-18, reported in IPEDS DCY2018-19 -or- NSLDS pooled AY2016-17, AY2017-18 cohort","AY2018-19, reported in IPEDS DCY2019-20 -or- NSLDS pooled AY2017-18, AY2018-19 cohort","AY2019-20, reported in IPEDS DCY2020-21 -or- NSLDS pooled AY2018-19, AY2019-20 cohort","AY2020-21, reported in IPEDS DCY2021-22 -or- NSLDS pooled AY2019-20, AY2020-21 cohort","AY2021-22, reported in IPEDS DCY2022-23 -or- NSLDS pooled AY2020-21, AY2021-22 cohort","AY2022-23, reported in IPEDS DCY2023-24 -or- NSLDS pooled AY2021-22, AY2022-23 cohort","AY2022-23, reported in IPEDS DCY2023-24 -or- NSLDS pooled AY2021-22, AY2022-23 cohort",,,,,,,,,,
CREDDESC,"NSLDS pooled AY2014-15, AY2015-16 cohort","NSLDS pooled AY2015-16, AY2016-17 cohort","NSLDS pooled AY2016-17, AY2017-18 cohort","NSLDS pooled AY2017-18, AY2018-19 cohort","NSLDS pooled AY2018-19, AY2019-20 cohort","NSLDS pooled AY2019-20, AY2020-21 cohort","NSLDS pooled AY2020-21, AY2021-22 cohort","NSLDS pooled AY2021-22, AY2022-23 cohort","NSLDS pooled AY2021-22, AY2022-23 cohort",,,,,,,,,,
IPEDSCOUNT1,AY2014-15 reported in IPEDS DCY2015-16,AY2015-16 reported in IPEDS DCY2016-17,AY2016-17 reported in IPEDS DCY2017-18,AY2017-18 reported in IPEDS DCY2018-19,AY2018-19 reported in IPEDS DCY2019-20,AY2019-20 reported in IPEDS DCY2020-21,AY2020-21 reported in IPEDS DCY2021-22,AY2021-22 reported in IPEDS DCY2022-23,AY2021-22 reported in IPEDS DCY2022-23,,,,,,,,,,
