Variable Name,"Cohort/Measure in ""Most Recent"" Datafile",Merged file Drawn From (MergedXXXX_YY_PP.csv),,
UNITID,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
OPEID,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
OPEID6,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
INSTNM,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
CITY,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
STABBR,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
ZIP,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
ACCREDAGENCY,PEPS as of 04/30/2026,2025_26,,
INSTURL,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
NPCURL,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
SCH_DEG,AY 2015-16,2019_20,,
HCM2,"FSA as of Dec 1, 2025",2025_26,,
MAIN,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
NUMBRANCH,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
PREDDEG,"AY2024-25, reported in IPEDS DCY2025-26",2025_26,,
HIGHDEG,"AY2024-25, reported in IPEDS DCY2025-26",2025_26,,
CONTROL,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
ST_FIPS,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
REGION,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
LOCALE,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
LOCALE2,NA,N/A,,
LATITUDE,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
LONGITUDE,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
CCBASIC,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
CCUGPROF,"AcadYr 2023-24, reported in IPEDS DCY2023-24",2025_26,,
CCSIZSET,"AcadYr 2023-24, reported in IPEDS DCY2023-24",2025_26,,
HBCU,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
PBI,OPE FY2025,2025_26,,
ANNHI,OPE FY2025,2025_26,,
TRIBAL,OPE FY2025,2025_26,,
AANAPII,OPE FY2025,2025_26,,
HSI,OPE FY2025,2025_26,,
NANTI,OPE FY2025,2025_26,,
MENONLY,College Navigator CY2026,2025_26,,
WOMENONLY,College Navigator CY2026,2025_26,,
RELAFFIL,"AcadYr 2025-26, reported in IPEDS DCY2025-26",2025_26,,
ADM_RATE,"Fall 2024, reported in IPEDS DCY2024-25",2024_25,,
ADM_RATE_ALL,"Fall 2024, reported in IPEDS DCY2024-25",2024_25,,
SATVR25,"Fall 2024, reported in IPEDS DCY2024-25",2024_25,,
SATVR75,"Fall 2024, reported in IPEDS DCY2024-25",2024_25,,
SATMT25,"Fall 2024, reported in IPEDS DCY2024-25",2024_25,,
SATMT75,"Fall 2024, reported in IPEDS DCY2024-25",2024_25,,
SATWR25,"Fall 2015, reported in IPEDS DCY2015-16",2015_16,,
SATWR75,"Fall 2015, reported in IPEDS DCY2015-16",2015_16,,
SATVRMID,"Fall 2021, reported in IPEDS DCY2021-22",2021_22,,
SATMTMID,"Fall 2021, reported in IPEDS DCY2021-22",2021_22,,
SATWRMID,"Fall 2015, reported in IPEDS DCY2015-16",2015_16,,
ACTCM25,"Fall 2024, reported in IPEDS DCY2024-25",2024_25,,
ACTCM75,"Fall 2024, reported in IPEDS DCY2024-25",2024_25,,
ACTEN25,"Fall 2024, reported in IPEDS DCY2024-25",2024_25,,
ACTEN75,"Fall 2024, reported in IPEDS DCY2024-25",2024_25,,
ACTMT25,"Fall 2024, reported in IPEDS DCY2024-25",2024_25,,
ACTMT75,"Fall 2024, reported in IPEDS DCY2024-25",2024_25,,
ACTWR25,"Fall 2015, reported in IPEDS DCY2015-16",2015_16,,
ACTWR75,"Fall 2015, reported in IPEDS DCY2015-16",2015_16,,
ACTCMMID,"Fall 2021, reported in IPEDS DCY2021-22",2021_22,,
ACTENMID,"Fall 2021, reported in IPEDS DCY2021-22",2021_22,,
ACTMTMID,"Fall 2021, reported in IPEDS DCY2021-22",2021_22,,
ACTWRMID,"Fall 2015, reported in IPEDS DCY2015-16",2015_16,,
SAT_AVG,"Fall 2024, reported in IPEDS DCY2024-25",2024_25,,
SAT_AVG_ALL,"Fall 2024, reported in IPEDS DCY2024-25",2024_25,,
PCIP01,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
PCIP03,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
PCIP04,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
PCIP05,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
PCIP09,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
PCIP10,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
PCIP11,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
PCIP12,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
PCIP13,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
PCIP14,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
PCIP15,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
PCIP16,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
PCIP19,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
PCIP22,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
PCIP23,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
PCIP24,"AY2024-25, reported in IPEDS DCY2025-26. Based on the CIP2020 codes.",2025_26,,
